number,timetaken
1000,3252759
1100,3954991
1200,4732725
1300,6177575
1400,8246342
1500,7278463
1600,8212950
1700,9273652
1800,10564885
1900,11622451
2000,13087008
2100,14192404
2200,15558126
2300,16984442
2400,18524982
2500,20041676
2600,21744329
2700,23398069
2800,25182965
2900,28175247
3000,28796429
3100,30776949
3200,33274778
3300,34980856
3400,37211295
3500,39329914
3600,42140968
3700,44192542
3800,46382505
3900,48755761
4000,51244241
4100,53929710
4200,57542402
4300,59322910
4400,62161466
4500,65087393
4600,69285179
4700,71362662
4800,74169648
4900,78130600
5000,80240273
5100,83933946
5200,88160114
5300,89851435
5400,93566530
5500,98092708
5600,100237877
5700,104996260
5800,107943779
5900,111205195
6000,115704975
6100,119017876
6200,123488141
6300,127197263
6400,132908798
6500,135011638
6600,142164917
6700,144700736
6800,147868907
6900,154034721
7000,156765696
7100,162341006
7200,167703277
7300,170631320
7400,176300105
7500,183514016
7600,188009318
7700,189704948
7800,197581318
7900,201507807
8000,206526346
8100,212681541
8200,215957874
8300,220567380
8400,227380913
8500,233034811
8600,238753550
8700,243892525
8800,249985732
8900,254351151
9000,260134762
9100,267185419
9200,272404143
9300,279425817
9400,283968237
9500,288808413
9600,300347259
9700,302560808
9800,307875521
9900,317807984
10000,322675864
